Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),Space group number,a,b,c,alpha,beta,gamma
Li0.25La0.25TaO3,1,Li0.25La0.25Ta1.0O3.0,2.61E-05,221,3.9063,3.9063,3.9063,90,90,90
Li0.5Sr0.5Cr0.25Ta0.75O3,1,Li0.5Sr0.5Cr0.25Ta0.75O3.0,6.00E-05,221,3.9503,3.9503,3.9503,90,90,90
Li0.5Sr0.5Fe0.25Ta0.75O3,1,Li0.5Sr0.5Fe0.25Ta0.75O3.0,0.0001,221,3.9639,3.9639,3.9639,90,90,90
Li0.19La0.67(Ti0.9Co0.1)O3,4,Li0.76La2.68Ti3.6Co0.4O12.0,0.000108,225,7.7722,7.7722,7.7722,90,90,90
Li6NBr3,4,Li24.0N4.0Br12.0,1.00E-08,225,8.9334,8.9334,8.9334,90,90,90
Li(Li0.34Ti1.66)O4,8,Li10.72Ti13.28O32.0,6.03E-08,227,8.362,8.362,8.362,90,90,90
(Li0.916Mg0.084)(Li0.352Mg0.016Ti1.634)O4,8,Li10.14Mg0.8Ti13.07O32.0,1.73E-08,227,8.3649,8.3649,8.3649,90,90,90
(Li0.826Mg0.174)(Li0.374Mg0.026Ti1.60)O4,8,Li9.6Mg1.6Ti12.8O32.0,4.24E-09,227,8.3666,8.3666,8.3666,90,90,90
(Li0.74Mg0.26)(Li0.40Mg0.04Ti1.56)O4,8,Li9.12Mg2.4Ti12.48O32.0,1.51E-09,227,8.3703,8.3703,8.3703,90,90,90
Li2MnCl4,8,Li16.0Mn8.0Cl32.0,4.79E-06,227,10.481,10.481,10.481,90,90,90
Li2MgCl4,8,Li16.0Mg8.0Cl32.0,6.24E-07,227,10.416,10.416,10.416,90,90,90
Li1.9Mn0.9Ga0.1Cl4,8,Li15.2Mn7.2Ga0.8Cl32.0,2.37E-07,227,10.4881,10.4881,10.4881,90,90,90
Li1.65Mn0.65In0.35Cl4,8,Li13.2Mn5.2In2.8Cl32.0,9.90E-08,227,10.4696,10.4696,10.4696,90,90,90
LiCdCl4,8,Li8.0Cd8.0Cl32.0,5.80E-07,227,10.635,10.635,10.635,90,90,90
Li7La3Zr2O12,8,Li56.0La24.0Zr16.0O96.0,0.00012,230,12.972,12.972,12.972,90,90,90
Li6La2SrNb2O12,8,Li48.0La16.0Sr8.0Nb16.0O96.0,6.21E-07,230,12.83078,12.83078,12.83078,90,90,90
Li6SrLa2Nb2O12,8,Li48.0Sr8.0La16.0Nb16.0O96.0,4.20E-06,230,12.811,12.811,12.811,90,90,90
Li6CaLa2Nb2O12,8,Li48.0Ca8.0La16.0Nb16.0O96.0,1.60E-06,230,12.697,12.697,12.697,90,90,90
Li5.25Ba0.25La2.75Ta2O12,8,Li42.0Ba2.0La22.0Ta16.0O96.0,7.41E-06,230,12.957,12.957,12.957,90,90,90
Li5.5Ba0.5La2.5Ta2O12,8,Li44.0Ba4.0La20.0Ta16.0O96.0,1.41E-05,230,12.912,12.912,12.912,90,90,90
Li6.25Ba1.25La1.75Ta2O12,8,Li50.0Ba10.0La14.0Ta16.0O96.0,4.99E-05,230,12.806,12.806,12.806,90,90,90
Li6.5Ba1.5La1.5Ta2O12,8,Li52.0Ba12.0La12.0Ta16.0O96.0,3.08E-05,230,12.814,12.814,12.814,90,90,90
Li6.75Ba1.75La1.25Ta2O12,8,Li54.0Ba14.0La10.0Ta16.0O96.0,1.18E-05,230,12.819,12.819,12.819,90,90,90
Li7Ba2LaTa2O12,8,Li56.0Ba16.0La8.0Ta16.0O96.0,2.85E-06,230,12.834,12.834,12.834,90,90,90
Li5La3Ta2O12,8,Li40.0La24.0Ta16.0O96.0,6.61E-06,230,13.018,13.018,13.018,90,90,90
Li6BaLa2Ta2O12,8,Li48.0Ba8.0La16.0Ta16.0O96.0,2.95E-05,230,12.824,12.824,12.824,90,90,90
Li7La3Zr1.89Al0.15O12,8,Li56.0La24.0Zr15.12Al1.2O96.0,0.00034,230,13,13,13,90,90,90
Li7.06La3Y0.06Zr1.94O12,8,Li56.48La24.0Y0.48Zr15.52O96.0,0.00081,230,12.9672,12.9672,12.9672,90,90,90
Li6.25La3Zr2Ga0.25O12,8,Li50.0La24.0Zr16.0Ga2.0O96.0,0.00035,230,12.971,12.971,12.971,90,90,90
Li6.8La3Zr1.8Ta0.2O12,8,Li54.4La24.0Zr14.4Ta1.6O96.0,0.00028,230,12.964,12.964,12.964,90,90,90
Li6.6La3Zr1.6Ta0.4O12,8,Li52.8La24.0Zr12.8Ta3.2O96.0,0.00073,230,12.948,12.948,12.948,90,90,90
Li6.5La3Zr1.5Ta0.5O12,8,Li52.0La24.0Zr12.0Ta4.0O96.0,0.00092,230,12.945,12.945,12.945,90,90,90
Li6.4La3Zr1.4Ta0.6O12,8,Li51.2La24.0Zr11.2Ta4.8O96.0,0.001,230,12.922,12.922,12.922,90,90,90
Li6.2La3Zr1.2Ta0.8O12,8,Li49.6La24.0Zr9.6Ta6.4O96.0,0.00032,230,12.908,12.908,12.908,90,90,90
Li6La3ZrTaO12,8,Li48.0La24.0Zr8.0Ta8.0O96.0,0.00016,230,12.892,12.892,12.892,90,90,90
Li6.8La3Zr1.8Ta0.2O12,8,Li54.4La24.0Zr14.4Ta1.6O96.0,0.00073,230,12.978,12.978,12.978,90,90,90
Li6.75La3Zr1.75Ta0.25O12,8,Li54.0La24.0Zr14.0Ta2.0O96.0,0.00063,230,12.9801,12.9801,12.9801,90,90,90
Li6.65La3Zr1.65Ta0.35O12,8,Li53.2La24.0Zr13.2Ta2.8O96.0,0.00046,230,12.9591,12.9591,12.9591,90,90,90
Li6.6La3Zr1.6Ta0.4O12,8,Li52.8La24.0Zr12.8Ta3.2O96.0,0.00047,230,12.947,12.947,12.947,90,90,90
Li6.55La3Zr1.55Ta0.45O12,8,Li52.4La24.0Zr12.4Ta3.6O96.0,0.0004,230,12.9489,12.9489,12.9489,90,90,90
Li6La3ZrTaO12,8,Li48.0La24.0Zr8.0Ta8.0O96.0,0.00035,230,12.89,12.89,12.89,90,90,90
Li5La3Ta2O12,8,Li40.0La24.0Ta16.0O96.0,3.40E-05,230,12.8311,12.8311,12.8311,90,90,90
Li6.7La3Zr1.7Ta0.3O12,8,Li53.6La24.0Zr13.6Ta2.4O96.0,0.00069,230,12.9721,12.9721,12.9721,90,90,90
Li6.5La3Zr1.5Ta0.5O12,8,Li52.0La24.0Zr12.0Ta4.0O96.0,0.00028,230,12.9187,12.9187,12.9187,90,90,90
Li6.05Ga0.25La3Zr2O11.8F0.2,8,Li48.4Ga2.0La24.0Zr16.0O94.4F1.6,0.00128,230,12.96891,12.96891,12.96891,90,90,90
Li5.72Al0.26La3Zr1.5W0.25O12,8,Li45.76Al2.08La24.0Zr12.0W2.0O96.0,0.00049,230,12.954,12.954,12.954,90,90,90
Li6.8La3Zr1.9Mo0.1O12,8,Li54.4La24.0Zr15.2Mo0.8O96.0,8.00E-05,230,12.9697,12.9697,12.9697,90,90,90
Li6.6La3Zr1.8Mo0.2O12,8,Li52.8La24.0Zr14.4Mo1.6O96.0,0.000311,230,12.969,12.969,12.969,90,90,90
Li6.4La3Zr1.7Mo0.3O12,8,Li51.2La24.0Zr13.6Mo2.4O96.0,0.000369,230,12.9552,12.9552,12.9552,90,90,90
Li6.2La3Zr1.6Mo0.4O12,8,Li49.6La24.0Zr12.8Mo3.2O96.0,0.00034,230,12.9532,12.9532,12.9532,90,90,90
Li6.5La3Zr1.75Mo0.25O12,8,Li52.0La24.0Zr14.0Mo2.0O96.0,0.000333,230,12.9607,12.9607,12.9607,90,90,90
Li6.75La3Zr1.875Te0.125O12,8,Li54.0La24.0Zr15.0Te1.0O96.0,0.00033,230,12.9469,12.9469,12.9469,90,90,90
Li6.5La3Zr1.75Te0.25O12,8,Li52.0La24.0Zr14.0Te2.0O96.0,0.00102,230,12.9134,12.9134,12.9134,90,90,90
Li5La3Bi2O12,8,Li40.0La24.0Bi16.0O96.0,1.90E-05,230,13.0652,13.0652,13.0652,90,90,90
Li6La2SrBi2O12,8,Li48.0La16.0Sr8.0Bi16.0O96.0,2.00E-05,230,13.0893,13.0893,13.0893,90,90,90
Li5Nd3Sb2O12,8,Li40.0Nd24.0Sb16.0O96.0,1.30E-07,230,12.66238,12.66238,12.66238,90,90,90
Li4Nd3TeSbO12,8,Li32.0Nd24.0Te8.0Sb8.0O96.0,8.70E-09,230,12.62138,12.62138,12.62138,90,90,90
Li5La3Sb2O12,8,Li40.0La24.0Sb16.0O96.0,7.80E-06,230,12.8566,12.8566,12.8566,90,90,90
Li6SrLa2Sb2O12,8,Li48.0Sr8.0La16.0Sb16.0O96.0,6.30E-06,230,12.8933,12.8933,12.8933,90,90,90
Li6(La2Ca)(NbO6)2,8,Li48.0La16.0Ca8.0Nb16.0O96.0,1.33E-06,230,12.72185,12.72185,12.72185,90,90,90
Li6(La2Sr)(NbO6)2,8,Li48.0La16.0Sr8.0Nb16.0O96.0,3.69E-06,230,12.83078,12.83078,12.83078,90,90,90
Li6CaLa2Ta2O12,8,Li48.0Ca8.0La16.0Ta16.0O96.0,2.20E-06,230,12.725,12.725,12.725,90,90,90
Li6BaLa2Ta2O12,8,Li48.0Ba8.0La16.0Ta16.0O96.0,1.30E-05,230,13.001,13.001,13.001,90,90,90
Li6.15La3Zr1.75Ta0.25Ga0.2O12,8,Li49.2La24.0Zr14.0Ta2.0Ga1.6O96.0,0.00041,230,12.95,12.95,12.95,90,90,90
Li6.15La3Zr1.75Ta0.25Al0.2O12,8,Li49.2La24.0Zr14.0Ta2.0Al1.6O96.0,0.00037,230,12.95,12.95,12.95,90,90,90
Li6.75La3Zr1.75Ta0.25O12,8,Li54.0La24.0Zr14.0Ta2.0O96.0,0.00087,230,12.96,12.96,12.96,90,90,90
Li7La3Zr2O12,8,Li56.0La24.0Zr16.0O96.0,1.97E-06,230,12.9727,12.9727,12.9727,90,90,90
Li6BaLa2Ta2O12,8,Li48.0Ba8.0La16.0Ta16.0O96.0,1.69E-05,230,12.995,12.995,12.995,90,90,90
Nd3Zr2Al0.5Li5.5O12,8,Nd24.0Zr16.0Al4.0Li44.0O96.0,3.90E-05,230,12.8158,12.8158,12.8158,90,90,90
(Li6.26Al0.24)La3Zr2O12,8,Li50.08Al1.92La24.0Zr16.0O96.0,0.00021,230,12.96328,12.96328,12.96328,90,90,90
Li6La3Nb1.5Y0.5O12,8,Li48.0La24.0Nb12.0Y4.0O96.0,0.000188,230,12.9136,12.9136,12.9136,90,90,90
Li5.2La3Nb1.9Y0.1O12,8,Li41.6La24.0Nb15.2Y0.8O96.0,6.39E-05,230,12.8216,12.8216,12.8216,90,90,90
Li5.4La3Nb1.8Y0.2O12,8,Li43.2La24.0Nb14.4Y1.6O96.0,6.74E-05,230,12.8306,12.8306,12.8306,90,90,90
Li5.5La3Nb1.75Y0.25O12,8,Li44.0La24.0Nb14.0Y2.0O96.0,9.18E-05,230,12.8582,12.8582,12.8582,90,90,90
Li6.5La3Nb1.25Y0.75O12,8,Li52.0La24.0Nb10.0Y6.0O96.0,0.000343,230,12.9488,12.9488,12.9488,90,90,90
Li6Ba0.5Sr0.5La2Ta2O12,8,Li48.0Ba4.0Sr4.0La16.0Ta16.0O96.0,7.10E-06,230,12.92046,12.92046,12.92046,90,90,90
Li6SrLa2Ta2O12,8,Li48.0Sr8.0La16.0Ta16.0O96.0,5.40E-06,230,12.846394,12.846394,12.846394,90,90,90
Li6BaLa2Ta2O12,8,Li48.0Ba8.0La16.0Ta16.0O96.0,1.50E-05,230,13.011211,13.011211,13.011211,90,90,90
Li6CaLa2Ta2O12,8,Li48.0Ca8.0La16.0Ta16.0O96.0,2.20E-06,230,12.72383,12.72383,12.72383,90,90,90
Li6BaLa2Ta2O12,8,Li48.0Ba8.0La16.0Ta16.0O96.0,4.00E-05,230,12.946,12.946,12.946,90,90,90
Li6SrLa2Ta2O12,8,Li48.0Sr8.0La16.0Ta16.0O96.0,7.00E-06,230,12.808,12.808,12.808,90,90,90
Li5.74La3Zr1.5Ta0.5O12,8,Li45.92La24.0Zr12.0Ta4.0O96.0,0.000903,230,12.93,12.93,12.93,90,90,90
La3Li5.08Ta1.51Zr0.39O12,8,La24.0Li40.64Ta12.08Zr3.12O96.0,0.000103,230,12.84,12.84,12.84,90,90,90
Li51.2Al1.6La24Zr16O96,8,Li409.6Al12.8La192.0Zr128.0O768.0,0.000254,230,12.959,12.959,12.959,90,90,90
Li49.6Al1.6La24Zr14.4Ta1.6O96,8,Li396.8Al12.8La192.0Zr115.2Ta12.8O768.0,0.000614,230,12.958,12.958,12.958,90,90,90
Li5La3Ta2O12,8,Li40.0La24.0Ta16.0O96.0,1.59E-05,230,12.8176,12.8176,12.8176,90,90,90
Li5.3La3Ta1.85Sm0.15O12,8,Li42.4La24.0Ta14.8Sm1.2O96.0,7.11E-06,230,12.8108,12.8108,12.8108,90,90,90
Li5.5La3Ta1.75Sm0.25O12,8,Li44.0La24.0Ta14.0Sm2.0O96.0,5.17E-06,230,12.8206,12.8206,12.8206,90,90,90
Li5.70La3Ta1.65Sm0.35O12,8,Li45.6La24.0Ta13.2Sm2.8O96.0,2.15E-05,230,12.8309,12.8309,12.8309,90,90,90
Li5.90La3Ta1.55Sm0.45O12,8,Li47.2La24.0Ta12.4Sm3.6O96.0,1.18E-05,230,12.846,12.846,12.846,90,90,90
Li6.10La3Ta1.45Sm0.55O12,8,Li48.8La24.0Ta11.6Sm4.4O96.0,1.40E-05,230,12.8525,12.8525,12.8525,90,90,90
Li7La3Zr2O12,8,Li56.0La24.0Zr16.0O96.0,0.000569,230,12.9682,12.9682,12.9682,90,90,90
Li5La3Nb2O12,8,Li40.0La24.0Nb16.0O96.0,0.000532,230,12.718,12.718,12.718,90,90,90
Li5La3Nb1.95Y0.05O12,8,Li40.0La24.0Nb15.6Y0.4O96.0,1.34E-05,230,12.717,12.717,12.717,90,90,90
Li5La3Nb1.9Y0.1O12,8,Li40.0La24.0Nb15.2Y0.8O96.0,1.44E-05,230,12.717,12.717,12.717,90,90,90
Li5La3Nb1.85Y0.15O12,8,Li40.0La24.0Nb14.8Y1.2O96.0,5.71E-06,230,12.732,12.732,12.732,90,90,90
Li5La3Nb1.8Y0.2O12,8,Li40.0La24.0Nb14.4Y1.6O96.0,9.13E-06,230,12.743,12.743,12.743,90,90,90
Li5La3Nb1.75Y0.25O12,8,Li40.0La24.0Nb14.0Y2.0O96.0,9.68E-06,230,12.717,12.717,12.717,90,90,90
La3Zr2Ga0.5Li5.5O12,8,La24.0Zr16.0Ga4.0Li44.0O96.0,0.0001,230,12.9697,12.9697,12.9697,90,90,90
Li6.8La3Zr1.8Sb0.2O12,8,Li54.4La24.0Zr14.4Sb1.6O96.0,5.90E-05,230,12.97545,12.97545,12.97545,90,90,90
Li6.6La3Zr1.6Sb0.4O12,8,Li52.8La24.0Zr12.8Sb3.2O96.0,0.00077,230,12.95955,12.95955,12.95955,90,90,90
Li6.4La3Zr1.4Sb0.6O12,8,Li51.2La24.0Zr11.2Sb4.8O96.0,0.00066,230,12.95179,12.95179,12.95179,90,90,90
Li6.2La3Zr1.2Sb0.8O12,8,Li49.6La24.0Zr9.6Sb6.4O96.0,0.00045,230,12.92484,12.92484,12.92484,90,90,90
Li6La3ZrSbO12,8,Li48.0La24.0Zr8.0Sb8.0O96.0,0.00026,230,12.9237,12.9237,12.9237,90,90,90
Li7La3Hf2O12,8,Li56.0La24.0Hf16.0O96.0,0.00024,230,12.938,12.938,12.938,90,90,90
Li6.6La3Zr1.6Ta0.4O12,8,Li52.8La24.0Zr12.8Ta3.2O96.0,0.000313,230,12.9594,12.9594,12.9594,90,90,90
Li6.6La2.875Y0.125Zr1.6Ta0.4O12,8,Li52.8La23.0Y1.0Zr12.8Ta3.2O96.0,0.000317,230,12.9572,12.9572,12.9572,90,90,90
Li6.6La2.75Y0.25Zr1.6Ta0.4O12,8,Li52.8La22.0Y2.0Zr12.8Ta3.2O96.0,0.000436,230,12.9506,12.9506,12.9506,90,90,90
Li6.6La2.5Y0.5Zr1.6Ta0.4O12,8,Li52.8La20.0Y4.0Zr12.8Ta3.2O96.0,0.000226,230,12.9479,12.9479,12.9479,90,90,90
Li7La3Zr2O12,8,Li56.0La24.0Zr16.0O96.0,0.000511,230,12.968,12.968,12.968,90,90,90
 Li6.4Al0.19La3Zr2O11.8,8,Li51.2Al1.52La24.0Zr16.0O94.4,0.00031,230,12.972,12.972,12.972,90,90,90
Li7.06La3Zr1.94Y0.06O12,8,Li56.48La24.0Zr15.52Y0.48O96.0,0.000956,230,12.9672,12.9672,12.9672,90,90,90
Li6BaLa2Ta2O12 ,8,Li48.0Ba8.0La16.0Ta16.0O96.0,1.30E-05,230,13.001,13.001,13.001,90,90,90
Li5La3Ta2O12,8,Li40.0La24.0Ta16.0O96.0,1.54E-06,230,12.85,12.85,12.85,90,90,90
Li5La3Bi2O12,8,Li40.0La24.0Bi16.0O96.0,2.20E-05,230,13.052,13.052,13.052,90,90,90
Li6.75La3Zr1.75Nb0.25O12 ,8,Li54.0La24.0Zr14.0Nb2.0O96.0,0.0008,230,12.9519,12.9519,12.9519,90,90,90
Li6.25La3Zr2Ga0.25O12,8,Li50.0La24.0Zr16.0Ga2.0O96.0,0.00035,230,12.971,12.971,12.971,90,90,90
Li6.5La3Nb1.25Y0.75O12 ,8,Li52.0La24.0Nb10.0Y6.0O96.0,0.00027,230,12.9488,12.9488,12.9488,90,90,90
Li6.5La3Zr1.5Ta0.5O12 ,8,Li52.0La24.0Zr12.0Ta4.0O96.0,0.00092,230,12.945,12.945,12.945,90,90,90
Li6.6La3Zr1.6Ta0.4O12 ,8,Li52.8La24.0Zr12.8Ta3.2O96.0,0.00073,230,12.948,12.948,12.948,90,90,90
Li6.2La3Zr1.2Ta0.8O12 ,8,Li49.6La24.0Zr9.6Ta6.4O96.0,0.00032,230,12.908,12.908,12.908,90,90,90
Li6.8La3Zr1.8Ta0.2O12 ,8,Li54.4La24.0Zr14.4Ta1.6O96.0,0.00028,230,12.964,12.964,12.964,90,90,90
Li6La3ZrTaO12 ,8,Li48.0La24.0Zr8.0Ta8.0O96.0,0.00016,230,12.891,12.891,12.891,90,90,90
Li6.75La3Zr1.75Ta0.25O12 ,8,Li54.0La24.0Zr14.0Ta2.0O96.0,0.00063,230,12.9801,12.9801,12.9801,90,90,90
Li5.4La3Nb1.8Y0.75O12,8,Li43.2La24.0Nb14.4Y6.0O96.0,2.51E-05,230,12.9488,12.9488,12.9488,90,90,90
Li6La2CaNb2O12,8,Li48.0La16.0Ca8.0Nb16.0O96.0,2.11E-06,230,12.72185,12.72185,12.72185,90,90,90
Li5La3Sb2O12,8,Li40.0La24.0Sb16.0O96.0,2.06E-06,230,12.84665,12.84665,12.84665,90,90,90
Li6.5La3Zr1.5Ta0.5O12,8,Li52.0La24.0Zr12.0Ta4.0O96.0,0.000794,230,12.954,12.954,12.954,90,90,90
Li6.5La2.95Ba0.05Zr1.45Ta0.55O12,8,Li52.0La23.6Ba0.4Zr11.6Ta4.4O96.0,0.000832,230,12.949,12.949,12.949,90,90,90
Li6.5La2.9Ba0.1Zr1.4Ta0.6O12,8,Li52.0La23.2Ba0.8Zr11.2Ta4.8O96.0,0.000834,230,12.944,12.944,12.944,90,90,90
Li6.5La2.8Ba0.2Zr1.3Ta0.7O12,8,Li52.0La22.4Ba1.6Zr10.4Ta5.6O96.0,0.000631,230,12.952,12.952,12.952,90,90,90
Li6.5La2.7Ba0.3Zr1.2Ta0.8O12,8,Li52.0La21.6Ba2.4Zr9.6Ta6.4O96.0,0.000492,230,12.964,12.964,12.964,90,90,90
Li7La3Ta2O13,8,Li56.0La24.0Ta16.0O104.0,2.65E-06,230,12.82,12.82,12.82,90,90,90