Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF
Li16.0Sn8.0S24.0,15,6.3964,11.0864,12.4048,90.0,99.867,90.0,1.5e-05,10.1021/cm5037524,Match
Li12.0Na20.0Ti8.0S32.0,15,17.5783,9.6404,12.0796,90.0,133.405,90.0,8.8e-06,10.1016/j.jssc.2008.01.023,Match
Li26.0P2.0Si2.0S20.0Br4.0,216,10.0521,10.0521,10.0521,90.0,90.0,90.0,0.00219,10.1039/c7ta08581h,Match
Li24.5P3.5Si0.5S20.0Br4.0,216,10.0098,10.0098,10.0098,90.0,90.0,90.0,0.000902,10.1039/c7ta08581h,Match
Li24.3P3.7Si0.3S20.0Br4.0,216,9.9938,9.9938,9.9938,90.0,90.0,90.0,0.000873,10.1039/c7ta08581h,Match
Li25.2P2.8Si1.2S20.0Br4.0,216,10.0521,10.0521,10.0521,90.0,90.0,90.0,0.00165,10.1039/c7ta08581h,Match
Li25.4P2.6Si1.4S20.0Br4.0,216,10.0468,10.0468,10.0468,90.0,90.0,90.0,0.00234,10.1039/c7ta08581h,Match
Li24.7P3.3Si0.7S20.0Br4.0,216,10.0193,10.0193,10.0193,90.0,90.0,90.0,0.000931,10.1039/c7ta08581h,Match
Li24.2P3.8Si0.2S20.0Br4.0,216,9.9871,9.9871,9.9871,90.0,90.0,90.0,0.000437,10.1039/c7ta08581h,Match
Li24.8P3.2Si0.8S20.0Br4.0,216,10.024,10.024,10.024,90.0,90.0,90.0,0.00169,10.1039/c7ta08581h,Match
Li24.9P3.1Si0.9S20.0Br4.0,216,10.0315,10.0315,10.0315,90.0,90.0,90.0,0.00108,10.1039/c7ta08581h,Match
Li25.0P3.0Si1.0S20.0Br4.0,216,10.0365,10.0365,10.0365,90.0,90.0,90.0,0.00141,10.1039/c7ta08581h,Match
Li24.0P4.0S20.0Br4.0,216,9.9773,9.9773,9.9773,90.0,90.0,90.0,0.000701,10.1039/c7ta08581h,Match
Li24.0P4.0S20.0Br4.0,216,9.988,9.988,9.988,90.0,90.0,90.0,0.00277,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S18.4Se1.6Br4.0,216,10.0079,10.0079,10.0079,90.0,90.0,90.0,0.00364,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S19.2Se0.8Br4.0,216,9.9946,9.9946,9.9946,90.0,90.0,90.0,0.00392,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S17.6Se2.4Br4.0,216,10.0259,10.0259,10.0259,90.0,90.0,90.0,0.00278,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S18.8Se1.2Br4.0,216,9.9974,9.9974,9.9974,90.0,90.0,90.0,0.00362,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S17.2Se2.8Br4.0,216,10.0265,10.0265,10.0265,90.0,90.0,90.0,0.00301,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S16.8Se3.2Br4.0,216,10.0332,10.0332,10.0332,90.0,90.0,90.0,0.00348,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S16.0Se4.0Br4.0,216,10.0522,10.0522,10.0522,90.0,90.0,90.0,0.00361,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S16.4Se3.6Br4.0,216,10.0418,10.0418,10.0418,90.0,90.0,90.0,0.00382,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S19.6Se0.4Br4.0,216,9.9902,9.9902,9.9902,90.0,90.0,90.0,0.0032,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S18.0Se2.0Br4.0,216,10.0176,10.0176,10.0176,90.0,90.0,90.0,0.00268,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S20.0Br4.0,216,9.98,9.98,9.98,90.0,90.0,90.0,3.2e-05,10.1002/pssa.201001117,Close Match
Li24.0P4.0S20.0I4.0,216,10.142,10.142,10.142,90.0,90.0,90.0,0.00022,10.1002/pssa.201001117,Close Match
Li24.0P4.0S20.0I4.0,216,10.181,10.181,10.181,90.0,90.0,90.0,1.3e-06,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Br1.0I3.0,216,10.1108,10.1108,10.1108,90.0,90.0,90.0,4.72e-06,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Br3.0I1.0,216,10.0336,10.0336,10.0336,90.0,90.0,90.0,0.000112,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Cl1.0Br3.0,216,9.953,9.953,9.953,90.0,90.0,90.0,0.00186,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Cl2.0Br2.0,216,9.952,9.952,9.952,90.0,90.0,90.0,0.00333,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Br2.0I2.0,216,10.109,10.109,10.109,90.0,90.0,90.0,2.62e-05,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Cl3.0Br1.0,216,9.8911,9.8911,9.8911,90.0,90.0,90.0,0.00226,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Br4.0,216,10.02,10.02,10.02,90.0,90.0,90.0,0.00115,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Cl4.0,216,9.898,9.898,9.898,90.0,90.0,90.0,0.00205,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Cl4.0,216,9.8397,9.8397,9.8397,90.0,90.0,90.0,0.0013,10.1016/j.ssi.2012.06.008,No Match
Li24.0P4.0S20.0Cl4.0,216,9.85,9.85,9.85,90.0,90.0,90.0,3.3e-05,10.1002/pssa.201001117,Close Match
Li24.0P4.0S20.0I4.0,216,10.1452,10.1452,10.1452,90.0,90.0,90.0,1.26e-06,10.1021/jacs.8b10282,Close Match
Li25.6P2.4Ge1.6S20.0I4.0,216,10.2297,10.2297,10.2297,90.0,90.0,90.0,0.0015,10.1021/jacs.8b10282,No Match
Li25.0P3.0Ge1.0S20.0I4.0,216,10.1931,10.1931,10.1931,90.0,90.0,90.0,0.00015,10.1021/jacs.8b10282,No Match
Li26.8P1.2Ge2.8S20.0I4.0,216,10.2851,10.2851,10.2851,90.0,90.0,90.0,0.00554,10.1021/jacs.8b10282,Match
Li27.2P0.8Ge3.2S20.0I4.0,216,10.2998,10.2998,10.2998,90.0,90.0,90.0,0.00258,10.1021/jacs.8b10282,Match
Li24.8P3.2Ge0.8S20.0I4.0,216,10.1847,10.1847,10.1847,90.0,90.0,90.0,3.19e-05,10.1021/jacs.8b10282,No Match
Li24.4P3.6Ge0.4S20.0I4.0,216,10.1669,10.1669,10.1669,90.0,90.0,90.0,8.86e-06,10.1021/jacs.8b10282,No Match
Li24.6P3.4Ge0.6S20.0I4.0,216,10.1805,10.1805,10.1805,90.0,90.0,90.0,3.93e-05,10.1021/jacs.8b10282,No Match
Li26.4P1.6Ge2.4S20.0I4.0,216,10.2431,10.2431,10.2431,90.0,90.0,90.0,0.00521,10.1021/jacs.8b10282,Close Match
Li25.2P2.8Ge1.2S20.0I4.0,216,10.2058,10.2058,10.2058,90.0,90.0,90.0,0.00065,10.1021/jacs.8b10282,No Match
Li26.0P2.0Ge2.0S20.0I4.0,216,10.2431,10.2431,10.2431,90.0,90.0,90.0,0.00186,10.1021/jacs.8b10282,No Match
Li24.1P3.9Si0.1S20.0Br4.0,216,9.9819,9.9819,9.9819,90.0,90.0,90.0,0.000878,10.1039/c7ta08581h,Match
Li24.4P3.8Si0.4S20.0Br4.0,216,10.0024,10.0024,10.0024,90.0,90.0,90.0,0.000799,10.1039/c7ta08581h,Match
Li8.0P4.0O8.0N4.0,36,9.0692,5.3999,4.6856,90.0,90.0,90.0,1e-15,10.1016/j.ssi.2012.12.013,Match
Li1.6Cd8.0Cl32.0,227,10.635,10.635,10.635,90.0,90.0,90.0,5.8e-07,10.1016/0025-5408(81)90142-2,No Match
Li4.0Cl4.0C12.0H28.0N4.0O4.0,14,5.839,6.39,15.961,90.0,98.826,90.0,0.00016,10.1021/acs.chemmater.5b00940,Match
Li16.0Zn4.0P8.0O32.0,14,8.1199,10.2419,8.10549,90.0,104.859,90.0,5.55e-18,10.1021/acs.chemmater.7b05139,Match
Li7.0Zn1.0Ga1.0P4.0O16.0,62,10.0892,6.5108,4.93588,90.0,90.0,90.0,1e-15,10.1021/acs.chemmater.7b05139,Match
Li7.4Zn1.4Ga0.6P4.0O16.0,19,4.9391,6.4803,10.1468,90.0,90.0,90.0,5.65e-12,10.1021/acs.chemmater.7b05139,Match
Li8.0Zn2.0P4.0O16.0,62,10.2974,6.5021,5.0011,90.0,90.0,90.0,1e-15,10.1021/acs.chemmater.7b05139,Match
Li9.6Mg1.6Ti12.8O32.0,227,8.3666,8.3666,8.3666,90.0,90.0,90.0,4.24e-09,10.1016/j.ssi.2010.06.003,Match
Li10.14Mg0.8Ti13.07O32.0,227,8.3649,8.3649,8.3649,90.0,90.0,90.0,1.73e-08,10.1016/j.ssi.2010.06.003,Match
Li8.56Mg3.16Ti12.28O32.0,212,8.3792,8.3792,8.3792,90.0,90.0,90.0,6.56e-10,10.1016/j.ssi.2010.06.003,Match
Li7.96Mg4.04Ti12.0O32.0,212,8.3806,8.3806,8.3806,90.0,90.0,90.0,1.53e-11,10.1016/j.ssi.2010.06.003,Match
Li9.12Mg2.4Ti12.48O32.0,227,8.3703,8.3703,8.3703,90.0,90.0,90.0,1.51e-09,10.1016/j.ssi.2010.06.003,Match
Li10.72Ti13.28O32.0,227,8.362,8.362,8.362,90.0,90.0,90.0,6.03e-08,10.1016/j.ssi.2010.06.003,Match
Li13.2Mn5.2In2.8Cl32.0,227,10.4696,10.4696,10.4696,90.0,90.0,90.0,9.9e-08,10.1016/s0167-2738(96)00592-9,Match
Li15.2Mn7.2Ga0.8Cl32.0,227,10.4881,10.4881,10.4881,90.0,90.0,90.0,2.37e-07,10.1016/s0167-2738(96)00592-9,Match
Li48.0Ba8.0La16.0Ta16.0O96.0,199,12.946,12.946,12.946,90.0,90.0,90.0,4e-05,10.1002/adfm.200400044,No Match
Li48.0Sr8.0La16.0Ta16.0O96.0,199,12.808,12.808,12.808,90.0,90.0,90.0,7e-06,10.1002/adfm.200400044,No Match
Li48.0Sr8.0La16.0Ta16.0O96.0,230,12.8464,12.8464,12.8464,90.0,90.0,90.0,5.4e-06,10.1021/am4060194,Match
Li48.0Ba4.0Sr4.0La16.0Ta16.0O96.0,230,12.9205,12.9205,12.9205,90.0,90.0,90.0,7.1e-06,10.1021/am4060194,Match
Li48.0Ca8.0La16.0Ta16.0O96.0,230,12.7088,12.7088,12.7088,90.0,90.0,90.0,2.2e-06,10.1021/am4060194,Match
Li48.0Ba8.0La16.0Ta16.0O96.0,230,12.9973,12.9973,12.9973,90.0,90.0,90.0,1.5e-05,10.1021/am4060194,Match
Li48.0Ba8.0La16.0Ta16.0O96.0,230,12.995,12.995,12.995,90.0,90.0,90.0,1.69e-05,10.1016/j.materresbull.2012.04.032,Match
Li48.0Ba8.0La16.0Ta16.0O96.0,230,13.001,13.001,13.001,90.0,90.0,90.0,1.3e-05,10.1016/j.ssi.2008.10.022,Match
Li48.0Ba8.0La16.0Ta16.0O96.0,230,12.9748,12.9748,12.9748,90.0,90.0,90.0,2.95e-05,10.1007/s11581-007-0097-8,Close Match
Li42.0Ba2.0La22.0Ta16.0O96.0,230,12.8427,12.8427,12.8427,90.0,90.0,90.0,7.41e-06,10.1007/s11581-007-0097-8,No Match
Li54.0Ba14.0La10.0Ta16.0O96.0,230,12.9813,12.9813,12.9813,90.0,90.0,90.0,1.18e-05,10.1007/s11581-007-0097-8,No Match
Li56.0Ba16.0La8.0Ta16.0O96.0,230,12.9646,12.9646,12.9646,90.0,90.0,90.0,2.85e-06,10.1007/s11581-007-0097-8,No Match
Li50.0Ba10.0La14.0Ta16.0O96.0,230,12.9934,12.9934,12.9934,90.0,90.0,90.0,4.99e-05,10.1007/s11581-007-0097-8,No Match
Li40.0La24.0Ta16.0O96.0,230,12.7814,12.7814,12.7814,90.0,90.0,90.0,6.61e-06,10.1007/s11581-007-0097-8,Close Match
Li40.0La24.0Ta16.0O96.0,230,12.8176,12.8176,12.8176,90.0,90.0,90.0,1.59e-05,10.1021/acs.inorgchem.7b00816,Match
Li44.0La24.0Ta14.0Sm2.0O96.0,230,12.8206,12.8206,12.8206,90.0,90.0,90.0,5.17e-06,10.1021/acs.inorgchem.7b00816,Match
Li42.4La24.0Ta14.8Sm1.2O96.0,230,12.8108,12.8108,12.8108,90.0,90.0,90.0,7.11e-06,10.1021/acs.inorgchem.7b00816,Match
Li45.6La24.0Ta13.2Sm2.8O96.0,230,12.8309,12.8309,12.8309,90.0,90.0,90.0,2.15e-05,10.1021/acs.inorgchem.7b00816,Match
Li48.8La24.0Ta11.6Sm4.4O96.0,230,12.8525,12.8525,12.8525,90.0,90.0,90.0,1.4e-05,10.1021/acs.inorgchem.7b00816,Match
Li47.2La24.0Ta12.4Sm3.6O96.0,230,12.846,12.846,12.846,90.0,90.0,90.0,1.18e-05,10.1021/acs.inorgchem.7b00816,Match
Li40.0La24.0Ta16.0O96.0,230,12.85,12.85,12.85,90.0,90.0,90.0,1.54e-06,10.1016/j.ssi.2009.11.015,No Match
Li40.0La24.0Ta16.0O96.0,230,12.8311,12.8311,12.8311,90.0,90.0,90.0,3.4e-05,10.1149/2.024205esl,Close Match
Li53.2La24.0Zr13.2Ta2.8O96.0,230,12.9591,12.9591,12.9591,90.0,90.0,90.0,0.00046,10.1149/2.024205esl,No Match
Li54.4La24.0Zr14.4Ta1.6O96.0,230,12.978,12.978,12.978,90.0,90.0,90.0,0.00073,10.1149/2.024205esl,No Match
Li54.0La24.0Zr14.0Ta2.0O96.0,230,12.9801,12.9801,12.9801,90.0,90.0,90.0,0.00063,10.1149/2.024205esl,No Match
Li53.6La24.0Zr13.6Ta2.4O96.0,230,12.9721,12.9721,12.9721,90.0,90.0,90.0,0.00069,10.1149/2.024205esl,Close Match
Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.9187,12.9187,12.9187,90.0,90.0,90.0,0.00028,10.1149/2.024205esl,Close Match
Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.954,12.954,12.954,90.0,90.0,90.0,0.000794,10.3389/fenrg.2016.00028,No Match
Li52.0La23.2Ba0.8Zr11.2Ta4.8O96.0,230,12.944,12.944,12.944,90.0,90.0,90.0,0.000834,10.3389/fenrg.2016.00028,No Match
Li52.0La23.6Ba0.4Zr11.6Ta4.4O96.0,230,12.949,12.949,12.949,90.0,90.0,90.0,0.000832,10.3389/fenrg.2016.00028,No Match
Li52.0La21.6Ba2.4Zr9.6Ta6.4O96.0,230,12.964,12.964,12.964,90.0,90.0,90.0,0.000492,10.3389/fenrg.2016.00028,No Match
Li52.0La22.4Ba1.6Zr10.4Ta5.6O96.0,230,12.952,12.952,12.952,90.0,90.0,90.0,0.000631,10.3389/fenrg.2016.00028,No Match
Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.945,12.945,12.945,90.0,90.0,90.0,0.00092,10.1039/c2jm31413d,Close Match
Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.948,12.948,12.948,90.0,90.0,90.0,0.00073,10.1039/c2jm31413d,No Match
Li56.0La24.0Zr16.0O96.0,230,12.972,12.972,12.972,90.0,90.0,90.0,0.00012,10.1039/c2jm31413d,No Match
Li56.0La24.0Zr16.0O96.0,230,12.9727,12.9727,12.9727,90.0,90.0,90.0,1.97e-06,10.1039/c1cp22108f,Close Match
Li56.0La24.0Zr16.0O96.0,142,13.134,13.134,12.663,90.0,90.0,90.0,1.63e-06,10.1016/j.jssc.2009.05.020,Match
Li56.0La24.0Zr16.0O96.0,230,12.9682,12.9682,12.9682,90.0,90.0,90.0,0.000569,10.1016/j.ssi.2010.12.010,No Match
Li56.0La24.0Zr16.0O96.0,230,12.968,12.968,12.968,90.0,90.0,90.0,0.000511,10.1002/anie.200701144,No Match
Li49.6La24.0Zr9.6Ta6.4O96.0,230,12.908,12.908,12.908,90.0,90.0,90.0,0.00032,10.1039/c2jm31413d,Close Match
Li51.2La24.0Zr11.2Ta4.8O96.0,230,12.922,12.922,12.922,90.0,90.0,90.0,0.001,10.1039/c2jm31413d,Close Match
Li48.0La24.0Zr8.0Ta8.0O96.0,230,12.891,12.891,12.891,90.0,90.0,90.0,0.00016,10.1039/c2jm31413d,No Match
Li48.0La24.0Zr8.0Ta8.0O96.0,230,12.89,12.89,12.89,90.0,90.0,90.0,0.00035,10.1149/2.024205esl,No Match
Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.947,12.947,12.947,90.0,90.0,90.0,0.00047,10.1149/2.024205esl,Close Match
Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.9594,12.9594,12.9594,90.0,90.0,90.0,0.000313,10.1021/am503731h,No Match
Li52.8La23.0Y1.0Zr12.8Ta3.2O96.0,230,12.9572,12.9572,12.9572,90.0,90.0,90.0,0.000317,10.1021/am503731h,No Match
Li52.8La20.0Y4.0Zr12.8Ta3.2O96.0,230,12.9479,12.9479,12.9479,90.0,90.0,90.0,0.000226,10.1021/am503731h,No Match
Li52.8La22.0Y2.0Zr12.8Ta3.2O96.0,230,12.9506,12.9506,12.9506,90.0,90.0,90.0,0.000436,10.1021/am503731h,No Match
Li52.4La24.0Zr12.4Ta3.6O96.0,230,12.9489,12.9489,12.9489,90.0,90.0,90.0,0.0004,10.1149/2.024205esl,No Match
Li54.4La24.0Zr14.4Ta1.6O96.0,230,12.964,12.964,12.964,90.0,90.0,90.0,0.00028,10.1039/c2jm31413d,Close Match
Li54.0La24.0Zr14.0Ta2.0O96.0,230,12.96,12.96,12.96,90.0,90.0,90.0,0.00087,10.1016/j.jpowsour.2012.01.131,Close Match
Li49.2La24.0Zr14.0Ta2.0Ga1.6O96.0,230,12.95,12.95,12.95,90.0,90.0,90.0,0.00041,10.1016/j.jpowsour.2012.01.131,No Match
Li49.2La24.0Zr14.0Ta2.0Al1.6O96.0,230,12.95,12.95,12.95,90.0,90.0,90.0,0.00037,10.1016/j.jpowsour.2012.01.131,No Match
Li44.0Ba4.0La20.0Ta16.0O96.0,230,12.8859,12.8859,12.8859,90.0,90.0,90.0,1.41e-05,10.1007/s11581-007-0097-8,No Match
Li52.0Ba12.0La12.0Ta16.0O96.0,230,12.9855,12.9855,12.9855,90.0,90.0,90.0,3.08e-05,10.1007/s11581-007-0097-8,No Match
Li48.0Ca8.0La16.0Ta16.0O96.0,230,12.725,12.725,12.725,90.0,90.0,90.0,2.2e-06,10.1016/j.ssi.2008.10.022,Match
Li48.0Sr8.0La16.0Ta16.0O96.0,199,12.811,12.811,12.811,90.0,90.0,90.0,4.2e-06,10.1111/j.1551-2916.2005.00060.x,No Match
Li48.0Ba8.0La16.0Nb16.0O96.0,199,12.86,12.86,12.86,90.0,90.0,90.0,6e-06,10.1111/j.1551-2916.2005.00060.x,No Match
Li48.0Ca8.0La16.0Nb16.0O96.0,230,12.697,12.697,12.697,90.0,90.0,90.0,1.6e-06,10.1111/j.1551-2916.2005.00060.x,Close Match
Li40.0La24.0Nb16.0O96.0,199,12.762,12.762,12.762,90.0,90.0,90.0,8e-06,10.1111/j.1551-2916.2005.00060.x,Close Match
Li40.0La24.0Nb16.0O96.0,230,12.718,12.718,12.718,90.0,90.0,90.0,5.08e-06,10.1016/j.jpowsour.2011.05.031,Close Match
Li40.0La24.0Nb14.4Y1.6O96.0,230,12.743,12.743,12.743,90.0,90.0,90.0,9.13e-06,10.1016/j.jpowsour.2011.05.031,No Match
Li40.0La24.0Nb15.6Y0.4O96.0,230,12.717,12.717,12.717,90.0,90.0,90.0,1.34e-05,10.1016/j.jpowsour.2011.05.031,No Match
Li40.0La24.0Nb14.8Y1.2O96.0,230,12.732,12.732,12.732,90.0,90.0,90.0,5.71e-06,10.1016/j.jpowsour.2011.05.031,No Match
Li40.0La24.0Nb14.0Y2.0O96.0,230,12.717,12.717,12.717,90.0,90.0,90.0,9.68e-06,10.1016/j.jpowsour.2011.05.031,No Match
Li40.0La24.0Nb15.2Y0.8O96.0,230,12.717,12.717,12.717,90.0,90.0,90.0,1.44e-05,10.1016/j.jpowsour.2011.05.031,No Match
Li48.0Sr8.0La16.0Nb16.0O96.0,230,12.811,12.811,12.811,90.0,90.0,90.0,4.2e-06,10.1111/j.1551-2916.2005.00060.x,No Match
Nd24.0Zr16.0Al4.0Li44.0O96.0,230,12.8158,12.8158,12.8158,90.0,90.0,90.0,3.9e-05,10.1039/c3ta13252h,Match
Li8.0Sr7.2Nb16.0O48.0F6.4,227,10.4909,10.4909,10.4909,90.0,90.0,90.0,1e-15,10.2497/jjspm.65.26,Match
Li8.0Sr8.0Nb16.0O48.0F8.0,227,10.4837,10.4837,10.4837,90.0,90.0,90.0,1e-15,10.2497/jjspm.65.26,Match
Li8.8Sr8.0Ta15.2Zr0.8O48.0F8.0,227,10.4699,10.4699,10.4699,90.0,90.0,90.0,1e-15,10.2497/jjspm.65.26,Match
Li8.0Sr7.2Ta16.0O48.0F6.4,227,10.4687,10.4687,10.4687,90.0,90.0,90.0,1e-15,10.2497/jjspm.65.26,Match
Li8.8Sr8.0Nb15.2Zr0.8O48.0F8.0,227,10.4885,10.4885,10.4885,90.0,90.0,90.0,1e-15,10.2497/jjspm.65.26,Match
Li8.0Sr8.0Ta16.0O48.0F8.0,227,10.464,10.464,10.464,90.0,90.0,90.0,1e-15,10.2497/jjspm.65.26,Match
Li8.0Mg4.0Ti12.0O32.0,212,8.3774,8.3774,8.3774,90.0,90.0,90.0,1e-15,10.1039/a800234g,Match
Li8.0Co4.0Ti12.0O32.0,212,8.3766,8.3766,8.3766,90.0,90.0,90.0,1e-15,10.1039/a800234g,Match
Li8.0Co4.0Ge12.0O32.0,212,8.2098,8.2098,8.2098,90.0,90.0,90.0,1e-15,10.1039/a800234g,Match
Li8.0Zn4.0Ge12.0O32.0,212,8.1961,8.1961,8.1961,90.0,90.0,90.0,1e-15,10.1039/a800234g,Match
Li20.7Si2.7P3.3S24.0,137,8.66958,8.66958,12.5361,90.0,90.0,90.0,0.00673,10.1039/c4fd00143e,No Match
Li19.56Sn1.56P4.44S24.0,137,8.737,8.737,12.713,90.0,90.0,90.0,0.00453,10.1039/c4fd00143e,No Match
Li20.55Si2.55P3.45S24.0,137,8.653,8.653,12.51,90.0,90.0,90.0,0.00565,10.1039/c4fd00143e,No Match
Li19.71Sn1.68P4.32S24.0,137,8.721,8.721,12.725,90.0,90.0,90.0,0.00436,10.1039/c4fd00143e,No Match
Li20.4Si2.4P3.6S24.0,137,8.644,8.644,12.504,90.0,90.0,90.0,0.00421,10.1039/c4fd00143e,No Match
Li19.5Sn1.5P4.5S24.0,137,8.722,8.722,12.72,90.0,90.0,90.0,0.0036,10.1039/c4fd00143e,No Match
Li20.85Si2.85P3.15S24.0,137,8.672,8.672,12.536,90.0,90.0,90.0,0.00527,10.1039/c4fd00143e,No Match
Li20.01Sn1.98P4.02S24.0,137,8.743,8.743,12.782,90.0,90.0,90.0,0.00373,10.1039/c4fd00143e,No Match
Li19.8Sn1.8P4.2S24.0,137,8.731,8.731,12.768,90.0,90.0,90.0,0.00365,10.1039/c4fd00143e,No Match
Li19.62Sn1.62P4.38S24.0,137,8.7405,8.7405,12.715,90.0,90.0,90.0,0.00496,10.1039/c4fd00143e,No Match
Li19.62Sn1.62P4.38S24.0,137,8.73764,8.73764,12.7166,90.0,90.0,90.0,0.0055,10.1107/s2052520615022283,Match
Li20.7Si2.7P3.3S24.0,137,8.68385,8.68385,12.5559,90.0,90.0,90.0,0.0065,10.1107/s2052520615022283,Match
Li4.0Ga4.0Br16.0,14,13.696,6.854,7.416,90.0,93.14,90.0,7e-06,10.1016/s0167-2738(00)00491-4,Match
Li7.2Ti10.8Sc1.2P18.0O72.0,167,8.527,8.527,20.924,90.0,90.0,120.0,9.98e-05,10.1021/acs.inorgchem.6b02274,Match
Li8.0Sb8.0O16.0,14,4.855,17.857,5.5771,90.0,90.061,90.0,1e-15,10.1021/ic201183e,Match
Li0.5Sr0.5Cr0.25Ta0.75O3.0,221,3.9503,3.9503,3.9503,90.0,90.0,90.0,6e-05,10.1016/s0378-7753(97)02645-1,No Match
Li0.5Sr0.5Fe0.25Ta0.75O3.0,221,3.9639,3.9639,3.9639,90.0,90.0,90.0,0.0001,10.1016/s0378-7753(97)02645-1,No Match
